date,open,high,low,close,adj_close,volume,dividend,split
2002/2/5,1418.6200000000001,1443.94,1404.16,1422.17,681.55,313154600,0.02,30.0
2002/2/6,1423.42,1438.22,1403.25,1419.31,680.37,333639500,0.31000000000000005,30.0
2002/2/7,1418.3,1439.4,1402.49,1413.65,677.8,360581700,0.0,30.0
2002/2/8,1412.79,1437.36,1394.58,1427.66,687.02,337140800,0.0,30.0
2002/3/1,1454.49,1489.29,1443.6299999999999,1483.31,713.65,298879100,0.0,30.0
2002/3/11,1511.09,1529.19,1496.83,1518.63,734.37,231603500,0.0,30.0
2002/3/12,1524.43,1528.82,1496.58,1521.98,735.7,241837200,0.05,30.0
2002/3/13,1518.28,1530.81,1499.24,1513.07,729.76,234491900,0.2,30.0
2002/3/14,1527.88,1528.91,1501.45,1516.26,730.2,212653300,0.12,30.0
2002/3/15,1517.78,1537.36,1507.2,1529.69,737.52,317586700,0.0,30.0
2002/3/18,1533.56,1544.78,1514.31,1527.57,735.66,232227000,0.0,30.0
2002/3/19,1534.23,1547.81,1522.51,1536.55,740.4399999999999,206541600,0.0,30.0
2002/3/20,1528.19,1538.8600000000001,1511.53,1518.47,730.22,226569900,0.08,30.0
2002/3/21,1528.54,1531.0,1495.46,1519.35,731.66,216372900,0.0,30.0
2002/3/22,1510.71,1524.05,1493.14,1504.74,726.2,223719400,0.0,30.0
2002/3/25,1503.86,1515.38,1482.08,1487.22,716.12,224189500,0.0,30.0
2002/3/26,1486.27,1511.55,1480.24,1494.6399999999999,719.96,248395800,0.29,30.0
2002/3/27,1507.9,1512.61,1486.6,1503.95,724.08,220713300,0.03,30.0
2002/3/28,1505.43,1519.38,1491.75,1503.69,724.39,199147100,0.0,30.0
2002/3/4,1483.6,1518.54,1469.1,1506.23,727.77,344701000,0.0,30.0
2002/3/5,1497.72,1516.86,1476.69,1490.91,721.02,309845400,0.0,30.0
2002/3/6,1493.92,1520.42,1484.19,1511.39,731.53,275846000,0.35,30.0
