date,open,high,low,close,adj_close,volume,dividend,split,DIFF,DEA,MACD,MACDS
2018/3/28,121.89166666666667,123.17466666666668,120.31866666666666,121.63799999999999,109.22366666666667,12101684.666666666,0.0,1.0,-1.1447384719934632,-0.5828692016803234,-0.5618692703131398,-1.1237385406262796
2018/3/29,122.30866666666665,124.21166666666666,121.30033333333334,122.80799999999999,110.29400000000001,12044738.4,0.0,1.0,-1.1472797163048938,-0.6957513046052375,-0.4515284116996563,-0.9030568233993126
2018/3/5,124.77166666666668,127.76299999999999,124.305,127.20566666666667,114.07233333333333,9854560.566666666,0.0,1.0,-0.7853852908170182,-0.7136781018475936,-0.07170718896942463,-0.14341437793884926
2018/3/6,127.68466666666667,128.4523333333333,126.093,127.29566666666666,114.161,9153639.333333334,0.0,1.0,-0.48572002536847947,-0.6680864865517708,0.18236646118329136,0.3647329223665827
2018/3/7,125.90966666666667,127.636,125.14466666666667,126.96566666666668,113.91666666666667,9261515.066666666,0.034333333333333334,1.0,-0.2717290621211248,-0.5888150016656416,0.3170859395445168,0.6341718790890336
2018/3/8,127.41866666666667,128.29266666666666,126.096,127.41233333333334,114.35833333333333,8198255.033333333,0.06633333333333333,1.0,-0.06534416808075605,-0.4841208349486645,0.41877666686790843,0.8375533337358169
2018/3/9,128.32633333333334,129.86166666666665,127.53933333333333,129.67866666666666,116.38333333333334,9067681.4,0.0,1.0,0.27788818481599264,-0.331719030995733,0.6096072158117256,1.2192144316234512
2018/4/10,124.01566666666666,125.225,123.13266666666667,124.39866666666667,111.71700000000001,9247994.0,0.0,1.0,0.12243902329844047,-0.24088742013689832,0.3633264434353388,0.7266528868706776
2018/4/11,123.38033333333333,124.666,122.70566666666667,123.32400000000001,110.72466666666666,7229668.366666666,0.0,1.0,-0.08647534187872452,-0.21000500448526355,0.12352966260653903,0.24705932521307805
2018/4/12,124.16566666666667,125.71266666666666,123.60266666666666,124.742,112.01500000000001,8040750.866666666,0.0,1.0,-0.1360524047169065,-0.19521448453159213,0.05916207981468563,0.11832415962937126
2018/4/13,125.48433333333334,125.94433333333333,123.35166666666667,124.06033333333333,111.35566666666666,8051397.733333333,0.0,1.0,-0.22772234582316742,-0.20171605678990717,-0.026006289033260244,-0.05201257806652049
2018/4/16,124.96166666666666,126.08500000000001,124.155,125.11266666666666,112.30966666666667,7743361.233333333,0.0,1.0,-0.21300157969098166,-0.20397316137012206,-0.0090284183208596,-0.0180568366417192
2018/4/17,126.31566666666667,127.58133333333333,125.28266666666667,126.40766666666667,113.46933333333332,8790823.2,0.0,1.0,-0.09573600417782302,-0.18232572993166224,0.08658972575383922,0.17317945150767844
2018/4/18,126.40133333333333,127.382,125.36333333333333,126.241,113.35333333333332,7916417.533333333,0.0,1.0,-0.01606560356196951,-0.14907370465772368,0.13300810109575417,0.26601620219150834
2018/4/19,125.91066666666667,126.82466666666667,124.76299999999999,125.74199999999999,113.03733333333334,9066563.466666667,0.024,1.0,0.006731041975370999,-0.11791275533110475,0.12464379730647575,0.2492875946129515
2018/4/2,122.52433333333333,123.384,118.836,120.46366666666667,108.154,13445458.3,0.0,1.0,-0.3965486730629948,-0.17363993887748275,-0.22290873418551205,-0.4458174683710241
2018/4/20,125.75566666666667,126.33966666666667,124.00033333333334,124.74766666666666,112.30366666666667,10804544.466666667,0.026000000000000002,1.0,-0.3662459008216814,-0.21216113126632247,-0.15408476955535894,-0.30816953911071787
