stock,open,high,low,close,adj_close,volume,dividend,split
AAPL,176.49131718395154,178.44279144587432,174.39940764572293,176.47491862225587,17.661459121877364,25773094.06964421,0.007488644965934898,1.0020817562452686
AMGN,101.25060938682816,102.40012301286905,100.06735806207419,101.24375283875851,86.82390234670704,6925206.952498107,0.006729750189250568,1.0
AXP,64.06365442846328,64.75375851627554,63.353749053747165,64.05577024981075,53.470989780469345,6608639.396101438,0.004640423921271764,1.0003785011355033
BA,114.72798258894777,116.01720855412567,113.37618470855412,114.70649318697956,100.40359954579864,5803982.658781227,0.009657456472369418,1.0
CAT,82.59446442089326,83.50766086298259,81.61719152157457,82.58942467827404,60.493889099167305,5342761.035957607,0.0084557153671461,1.0001892505677517
CRM,87.41392119173474,88.64977414704468,86.10245074483421,87.44776069197502,58.837748678519944,3667605.4243152332,0.0,1.0007208073041807
CSCO,28.272015518546553,28.644439818319455,27.887912566237702,28.265054882664646,22.46567940953823,46213907.54806964,0.0016956850870552614,1.0001892505677517
CVX,91.6531320968963,92.5011184708554,90.75552043906131,91.64549394398183,59.1481813020439,7338162.885314156,0.013175624526873582,1.0001892505677517
DIS,57.90010219530659,58.44362604087812,57.32368281604845,57.9061279333838,53.363258894776685,9460288.938872067,0.0027781983345950036,1.0
DOW,46.81800884955753,47.54526548672566,46.06648230088496,46.78546460176991,43.72130530973451,5138062.951327434,0.010840707964601768,1.0
GS,151.8748675246026,153.70864685844057,150.0206831945496,151.885463663891,133.39707797123393,5533576.694738834,0.007388342165026495,1.0
HD,80.76280847842543,81.54978614685844,79.95538607115822,80.77345382286147,69.69636828160485,9460779.007759273,0.006758137774413323,1.0
HON,73.93615632096896,74.62969530658592,73.20379258137775,73.93424299772899,61.043468962906886,3986684.574375473,0.006411809235427707,1.00000757002271
IBM,129.21138531415593,130.38752081756246,128.12137585162756,129.26986752460257,95.3235862982589,6079047.351816805,0.01184897804693414,1.0
INTC,32.24121688115064,32.690056775170326,31.80595382286147,32.24237698713096,23.86795609386828,47609178.22350492,0.0025889477668433005,1.0001892505677517
JNJ,84.69211771385315,85.3180299015897,84.04500567751703,84.70338758516276,64.99861847085542,8883809.701362604,0.008661998485995458,1.0001892505677517
JPM,56.560768357305065,57.19364307342922,55.88105791067373,56.540951930355796,44.76491294473883,21021009.875283875,0.006595382286146859,1.0000946252838758
KO,48.839587433762304,49.23514004542014,48.443347842543524,48.85853330809992,25.521786525359577,10129065.385692658,0.005196820590461772,1.0001892505677517
MCD,83.10411052233157,83.77182816048449,82.4459008327025,83.12084784254353,69.27720098410295,5903198.261922786,0.009057532172596517,1.0
MMM,118.80834405753218,119.81013626040878,117.77098221044663,118.81615442846329,87.57502081756245,3012832.260787282,0.01199659348978047,1.0001892505677517
MRK,52.33397236941711,52.85964799394398,51.80130393641181,52.339502271006815,37.47424299772899,11329380.6167676,0.007200984102952309,1.0
MSFT,54.214318697956095,54.822460257380776,53.59983345950038,54.2205980317941,43.08042392127176,48645572.04258138,0.0037301286903860713,1.0001892505677517
NKE,72.25618281604845,73.01151778955337,71.5111525359576,72.28745457986373,29.86629447388342,3888206.4131339896,0.0036071158213474637,1.0005677517032552
PG,77.30453255109765,77.91991105223316,76.71721990915972,77.3483497350492,53.53251514004542,8568929.0669947,0.008039364118092354,1.0001892505677517
TRV,71.77709689629069,72.43004542013625,71.11477857683573,71.79173542770629,59.45906510219531,2455944.663701741,0.0071385314155942466,1.0
UNH,100.85186601059803,101.96547312641938,99.72655563966691,100.88029333838001,81.13050719152157,5314512.184519304,0.004562831188493565,1.0005677517032552
V,124.29233157404532,125.48959018938217,123.0814250232847,124.31889164855636,71.66939459795094,7083659.916796026,0.0035237503880782366,1.000931387767774
VZ,43.52337055261166,43.92042013626041,43.08829485238456,43.520454201362604,27.443302422407267,13515358.357683573,0.008247539742619228,1.0
WBA,48.036364496593485,48.55260030280091,47.51166161998486,48.049839137017415,39.10335162755488,5439008.204012112,0.003364875094625284,1.0
WMT,66.52418811506435,67.1223656320969,65.93482967448902,66.53450605601817,54.80134935654807,10948486.89629069,0.00498107494322483,1.0
